Group,Region,Location,Affected Areas
A,Central Region,Lilongwe A,Area 48
A,Central Region,Chigumula,
A,Southern Region,Limbe A,Bangwe Chirimba Thothozi Machinjiri Areas 1 2 3 5 6 7 8 9 10 11 and 12
A,Southern Region,Kwacha,Chilobwe part of Zingwangwa
A,Central Region,COM,
A,Central Region,Kauma,
A,Central Region,Chigumula,Nanjoka
A,Central Region,Mapanga,
A,Southern Region,Balaka,Liwonde
A,Central Region,Lilongwe A,
A,Central Region,Chingeni,
A,Central Region,Mapanga,
A,Central Region,Sonda,
A,Northern Region,Chintheche,
A,Central Region,Bakhresa,
A1,Southern Region,Zomba,Old Naisi Naisi Jokala Sakata Naming'azi Songani Namasalima Domasi Nsomba Namwera Turn-Off Malosa Fakili Old Machinga Boma Chamatwa Chamba Majiga Mpita Mposa
A1,Southern Region,Chinyama,Manja Nkolokosa Chimwankhunda Soche East part of Zingwangwa Kudya
A1,Southern Region,Chiradzulu,Chenguwo Chikuli Chimwawa 1 & 2 Chiradzulu Business Centre Chiradzulu Teachers' Training Centre Kachere Luchenza Losa M'boola Mtungama Mulira Nkhwali Muliya Namadidi Namphungo Namulenga Nkando Perenje Satali
A1,Southern Region,Mapanga,Mapanga Residential Makalanga Lambart Njuli Mbulumbuzi Walala
A1,Southern Region,Michiru,Chilomoni (Trading Centre Police MDC Fargo Michiru CCAP part of Sanjika Fargo Likhubula Evengalical College)
A1,Northern Region,Mzuzu,Ekwendeni Ekaiweni Mpherembe Kafukule Mbalachanda Madede Mtwalo Euthini Kapando Kazuni Nkhorongo Eswazini Bulala Ngomiyawo Hora
A1,Central Region,Lilongwe B,Area 47 Mtandire Mtsiriza Piyasani and Gateway Shopping Mall
A1,Central Region,Area 25,Area 25 Sectors 1 2 3 4 5 6 7 8 9 Kings Foundation part of Area 25C Zibweze Lilongwe TTC Kaimvi 1 & 2 Area 51 Area 25A Msungwi Rejected Stone Kabwabwa Area 25B and Chitukula
A1,Central Region,Dedza,Dedza Town Bembeke Mlanda Lizulu Mtendere Chimbiya Linthipe Diamphwi Lobi Malirana Mayani Calomue and Masasa
A1,Central Region,Chinyama,Kasungu Town Chatoloma Chulu Chisinga Nkhamenya Luwerezi Mabulabo Khosolo and Emfeni
A1,Central Region,Chingeni,Mvera Mchezi Dowa and part of Ntchisi
A2,Southern Region,Bangwe,Part of Bangwe Chikunda Mpingwe School
A2,Southern Region,Changalume,Namadidi Changalume Barracks Nankhunda Mlumbe Chingale Theka Quarry Chipini Chinseu Namitembo Luwezi Masaula
A2,Southern Region,Zomba,Mulunguzi Skinner Sogoja Matawale Chinamwali Air Base Mikuyu Rutherdram Govala Sitima Mpyupyu Njala Kachulu Mlenga Complex Pirimiti Jali Mamphanda Matiya Chinkhwangwa Buleya
A2,Southern Region,Fundis X,
A2,Southern Region,Mtonda,7 Miles Thondwe Msamba Thondwe Dzaone Makoka Namadzi Mwandama Nambande Maera Magomero Nasawa Chimwalira Mpotola Mauwa Mateketa Lundu
A2,Southern Region,Changalume,
A2,Southern Region,Maldeco,Maldeco Maldeco Fisheries Koche Makokola Mpwepwe Nasenga Namiasi Boolera Samama Nkopola Leisure Centre Police Cottage Mulangeni Holiday Resort
A2,Southern Region,Chigumula,Chigumula Market Nantipwiri Bvumbwe Game Haven Makungwa Msikawanjala Nthale Nyambalo
A2,Central Region,Lilongwe B,Part of New Area 43 Old Area 43 and Area 10
A2,Central Region,Bunda,Bunda College part of 6 Miles Guzani part of By-Pass Mitundu Mkwinda Chiunjiza Mkangamila Chadza Kampini Ndaula Sinyala Kachere Chikhwaya Chiputu Chintchafu Pondamali Kamuzu Dam 1 & 2 Mlare Kambanizithe Dikisoni Chitseka Mkozomba Katchale Phirilanjuzi Dzalanyama and Malingunde
A2,Central Region,Area 25,Mota Engil Projex Group St. Francis Parish Pentecostal University College Nankhaka Timbers Mgona Ngomani SEEDCO Rainbow Paints Demeter Seed Kanengo Police part of Area 25C Pagulaye Centre Point Area 25B Market Kanthepa Limbe Leaf Houses part of Area 25A Area 25 SIMSO Filling Station Ecco Fuels Filling station Chenicheni Area 50 Area 51 and part of Area 49 (Proper and Dubai)
A2,Central Region,Lilongwe A,NRC Chitedze Chitipi Likuni Mission & Hospital part of Bwemba Chinsapo Chigwizano Njewa Army Air Wing Chilinkhanda and Mbavi
A2,Central Region,Lilongwe C,Part of Golomoti Gosheni Kapiri and Kaundu Health Centre
A2,Northern Region,Luwinga,Tukombo Kande Chifira Kachere Castle Matete
A2,Northern Region,Mzuzu,Lundazi Jenda Embangweni Champhira Vangalala Thoza Mquocha Edingeni Mbawa Kalikumbi Chizimia Dwambazi Poultry
A2,Northern Region,Karonga,Songwe Border Miyombo Lupaso Silu Mwaulambo Mwenitete Kibwe Kaporo Pusi Ighembe Iponga Mayoka Kasantha Kafulu Lusako Kakoma Kasoba Kashata
A2,Northern Region,Chikangawa,Chikangawa Trading Centre Champhoyo Mazamba Dam Compound
A2,Northern Region,Mzimba,Mzimba Boma Manyamula Kazomba St. Pauls Mabush Mcherera Chimkusa
B,Central Region,Nanjoka,
B,Central Region,Golomoti,
B,Southern Region,Sonda,
B,Central Region,Kwacha,Golomoti
B,Central Region,Chigumula,Chinyama
B,Northern Region,Bwengu,
B,Northern Region,Chikangawa,Nkhotakota Chikangawa
B,Central Region,Chinyama,
B,Central Region,Bunda,
B,Central Region,Lilongwe B,Nanjoka
B,Central Region,Area 47,
B,Central Region,Mulambe,Bunda
B,Northern Region,Luwinga,
B1,Southern Region,Michiru,Chileka (part of Chatha Ngumbe CCAP Chepuli Lunzu Mfumba Mulambe Hospital Maleule Comboni Chiponde Peanut Factory Lunzu Secondary School Mudi CDSS)
B1,Northern Region,Rumphi,Rumphi Boma Bolero Chikwawa Mwazisi Vongo Bumba Hewe Katowo Mphangala Mafinga District in Zambia
B1,Northern Region,Chitipa,Choma Nyaluwanga Farm Guliver Forestry Research
B1,Northern Region,Luwinga,Area 1B Viyere Lupaso Dunduzu Kang'ona New Mzuni Campus
B1,Southern Region,Monkey Bay,
B1,Southern Region,Liwonde,Old Town Kaning'ina Mzilawaingwe Katawa Chiputula Chasefu St. Johns ESCOM Regional Offices Police Airport Stadium
B1,Northern Region,Mzuzu,Mchengautuwa Old & new Katoto Chithira Part of Saulisbury line Mbachenda Grand Palace Hotel Toyota Malawi
B1,Northern Region,Nkhatabay,SOS Masasa Hilltop National Bank of Malawi Kaboko NRWB Offices Katoto Secondary School NAPHAM Gwamba Academy Beehive
B1,Northern Region,Mzimba,Area 4 Malivenji Sonda Industrial Kavibale
B1,Central Region,Bunda,Area 38 part of Area 24 and part of By-Pass
B1,Southern Region,Michiru,Michiru(Sonke Masiku Chanache) Mulunguzi Hema Nthukwa (Zambezi Taiwan) Chilomoni West Forestry Offices
B1,Southern Region,Chiradzulu,Yasini Mzedi Admarc St Patrick Sec School Kalungwe Nguludi Catholic University Mikolongwe Namitambo Thomas Chiradzulu Boma PIM Thumbwe Masanjala Milepa Miseu 4 Chimbalanga Dyanyama Kamwendo Khongoloni Khwalala kondwani Maliro Miseu Folo Mitekete Mwanga Nkhwai Nkomaula Saidi
B1,Southern Region,Nsanje,Part of Ngabu Sorgin Bangula Phokera Nsanje Marka Kaombe Farm Kaombe TC Nkhadzi Nyamithuthu Tengani Station Tengani Camp Ndiola Nyamula Chadzuka Mbangu Ngabu Mbenje Fargo Mtowe Chibuli Nkhande Dolo Thendo Goma Jombo Sekeni
B1,Central Region,Mulambe,Area 2 and Mchesi
B2,Northern Region,Rumphi,Bwengu Phwezi Lura Mhuju Mweyeye Nchenachena Mchenga Bale Mphompha Chiweta Mlowe Chitimba Luwuchi Khwawa Old Salawe Zowo Tcharo Phoka
B2,Northern Region,Mzuzu,Enukweni Kacheche Jombo Madise Engucwini Bwengu
B2,Northern Region,Karonga,Karonga Airport Baka Bwiba Karonga Old Town Chaminade Mwanjawala Mwahimba Kambwe Folotiya
B2,Southern Region,Monkey Bay,Monkey Bay Malembo Mazeze Bay Chikoko Bay Chantulo Namkumba Cape Maclear Msaka Binali Mbwadzulu
B2,Southern Region,Zomba,Nkula Turn-Off part of Mbemba Lisungwi Mkwinda Camp Mizemba Matope Tchenga Kanono T/C Kanono Nsawedza Malimba Nkhombe Kanono Admarc Chipondeponde Mdzala Kam'mwamba T/C
B2,Southern Region,Liwonde,Hippo Shire Lodge Machinga Hospital Mawira Industrial Area Liwonde National Park Liwonde Town Machinga Teachers' Training Centre Chingale Turn-Off Msosa Chinkwenzule Chinguni Mpotola Mulipa Chipamba Misikizi
B2,Southern Region,Limbe,Limbe Market Kanjeza Chinyonga Poly Village
B2,Southern Region,Balaka,Balaka District Hospital St Louis Parish Balaka Town Nsamala Kapire Majiga 1 2 & 3 Industrial Area Chidalala Mchenga St Johns Bakita Sauchi Nzengeza Toleza Jim Mbera area St Peters Kaliyati T/C Kuntiyani Nkasi Primary School Kachenga Area Lemu T/C Mtumbwe T/C Kapire T/C Kasupe Mdera
B2,Central Region,Area 47,Kwacha MBC TV Njamba
B2,Southern Region,Mtonda,
B2,Central Region,Lumbadzi,Lumbadzi Msambo Mtengowanthenga Nambuma Chilanga Chimwaza Mponela Madisi Bua and Chinkhoma
B2,Central Region,Bunda Turn-Off,
B2,Central Region,Lilongwe B,Part of Area 49 (Gulliver Shire and Baghdad)
B2,Central Region,Area 18,Area 18A Area 18B Senti and part of Area 30
B2,Central Region,Area 36,Area 36 St Johns Kaphiri Area 24 Partners in Hope NCIC and SOS
B2,Central Region,Chilinde,Part of Chilinde Area 23 part of Kaliyeka Chipasula part of Area 22 Kaufulu part of Area 24 Sanjiko Chawezi Quarry Chiuzira and Kang'oma
B2,Central Region,Kangóma,
B2,Central Region,Area 9,Area 9 part of Area 46 World Vision Head Office and part of Area 47 Sector 1
B2,Central Region,Area 47,
B2,Southern Region,Chikwawa,Andiamo Great Lakes Company Kankao Maganga Shanil Chanthunya
B2,Southern Region,Nchalo,Nchalo Ngabu Miseu-Folo Makande Luwanika
B2,Southern Region,Mangochi,Mponda Trading Centre Sosola area ICI Missionary
B2,Central Region,Nkhotakota,Nkhotakota Town Chia Mwansambo Kasakula Mpamantha Chididi and Matamangwe
B2,Central Region,Ntchisi,Lozi Trading Centre Bua Clinic Vinjenje Walemera and Nsenjere
B2,Central Region,Dowa,Malomo Wimbe Chamama Ndoda and part of Ntchisi
B2,Central Region,Lilongwe C,Mpingu Kabudula Nsundwe Chileka Namitete and Kasiya
C1,Southern Region,Limbe,Limbe Central part of Mpingwe Ntopwa part of Bangwe
C1,Southern Region,Fundis X,
C1,Southern Region,Chiwembe,Chiwembe Angelogoveya PTS part of Kanjedza Forest Federation
C1,Southern Region,Blantyre,Chirimba (Denisi Nazarene part of Market) Magalasi Ndirande (Chinsewu Zambia Malaysia Baghdad Satowe Anglican Church Mpembu Majiga) Chapima
C1,Southern Region,Nkula,Zalewa T/C Chisi T/C Chisi Mgodi Quarry Liebig Chibweya Mpalapata Kholombidzo Chisi TNM and Mdeka T/C
C1,Southern Region,Chileka,Chileka (Dip Karibu Academy Chatha Chatha Catholic Church Zinziri Ori Farms Donna's Eggs Farms Ngumbe) Mayela Primary School Michiru Nature Sanctury part of Mulunguzi Mulunguzi CDC Kameza Roundabout Kameza Gulliver and part of Zagaf
C1,Southern Region,Salima,Katelera Chipoka and Ngodzi
C1,Southern Region,Nkula,Chikhwaza Chinakanaka Chinyama Chonde Lihilo Malota M'biza Mithande Msikawanjala Muluvala Musisi Mwamadi Nansomba Nkalo Thundu Zinga Farm Zinziri
C1,Southern Region,Zomba,Nandolo Chirunga Chancellor College Zomba CBD St Marys Ndola Chikanda Police College Mpondabwino Likungwati Mpunga Bwaila
C1,Central Region,Salima,Salima Town Senga Bay Lifuwu MAFCO Kaphatenga Siyasiya Thavite Kamuona Chisaka Mtosa Chiphaka Benga Bzyobzyo Phakwe Makiyoni Chikombe Chithiba Michulu Namachete Green Belt Salima Sugar Company Malawi Mangoes Ltd and Domira Bay
C1,Southern Region,Chikwawa,Kasinthula Chikwawa Chapananga Dembo Mwamphazi Mfera Chizimbi Nkhate Fatima Thekerani Masenjere Limphangwi Mapelera Mkudzi Ndakwera Gumbwa Livunzu Thabwa
C1,Southern Region,Mulambe,Makhetha Jumbe Khama Chikapa part of Machinjiri
C1,Southern Region,Nsanje,Chasuchira Dziwe Mitengwe Nkaya Utale Demeter Phimbi Shire North Namikombe
C1,Central Region,Lilongwe A,Njewa Aret MRA Inland Port part of Airwing and Chilota
C1,Central Region,Balaka,Mangochi Turn-Off Namanolo Balaka Turn-Off Mwima Nandumbo Ulongwe Mpale Mtanga Chimwala DMI University & Radio Maria Mpinganjira Katema Chilipa
C1,Central Region,Lilongwe A,Falls Lilongwe Girls Biwi Triangle Upper Biwi part of Area 22 and Lilongwe Techinical College
C1,Central Region,Nanjiri,Nanjiri Nathenje Kamphata Matapira Kalumbu and Nkhoma
C1,Central Region,Mtunthama,Mtunthama Chilowamatambe and Kamuzu Academy
C1,Central Region,Kawale,Part of Biwi Kawale 1 & 2 part of Chilinde part of Kaliyeka and part of Area 17
C1,Northern Region,Nkhatabay,Nkhatabay Kawalazi Mpamba Chikwina Kavuzi Vizara Mzenga Chitheka Kalmbwe Chikale Sanga Msomba
C1,Northern Region,Bwengu,Nthumbo Kasinje Bwanje Sharpe Valley Mwalaoyera and Bilira
C1,Northern Region,Katoto,Chigumula Church Vipya Avenue Chimaliro Newlands Namiyango
C1,Northern Region,Uliwa,
C2,Southern Region,Ntcheu,Salambula Caltex Chioole Mission Chiole Water Pump Midway Bakery NBS Bank STD Bank Ntcheu Depot Assemblies Gecdec Thewa Ntcheu Hospital Ntcheu Prison Ntcheu Sec School Kachimanga Village Kasale 1 Kasale 2 Concern Universal Newlines Chimpakati Chitungu CBO Mambala Masitimale Dzoole Chisomo Orphanage Madzanje Sec. School Esther's House Chimato TC Makwangwala Chinyamula Water Tank Dombole Sec School Mphepozinai Mtumba Kabekere CDSS Mazonda Village Kandeu Parish Kandeu Health Centre Livulezi Ndagoma Water Pump Ndagoma Zidima Nkhande Agriculture NU
C2,Southern Region,Blantyre,Chemusa Wayede Kabula Police Likhubula Black Box Mbayani (Mangochi Anyamata Msika Wanjala) Chirimba (Landrover Zambezi Ntoso Mwachande Rose Garden Namatete Police Market part of Kameza)
C2,Southern Region,Michiru,Mbayani (Ndalama Gaisi Mateme Mbayani Primary School) Mbayani Petroda Malawi Sun Hotel part of Nyambadwe National Library Services
C2,Southern Region,Customs,Amitofo Universal Farm Mbulumbuzi
C2,Southern Region,Namiwawa,Mbwerera Chinangwa Namiwawa (Central Avenue St Patricks Mombo Avenue Majete Road Cedar Palace Gold Card Lodge)
C2,Southern Region,Nkula,Part of Green Corner Ntonda Nancholi Moneymen Baluti Chisangalalo Manase South-End Schools part of SunnySide Manyowe Pensulo Health Centre
C2,Southern Region,Michiru,
C2,Southern Region,Queens,PUMA-Green Corner part of Green Corner Kadam'manja Dassu Cold Storage Ulemu Ntonda Agriculture Mpemba Trading Centre Mpemba Health Centre Mpemba SDI Ziboda Chadzunda Trading Centre Chadzunda Mosque St. Mathews Hospital Milare Forest Milare Police Post Milare TNM Tower Fisherman's Nest
C2,Southern Region,Blantyre,Matindi Nocma Aqued Nkwate Domwe Muhura Ngongomwa Church Of God 17 Miles Karibu Elderly Mnchere Green Valley Madziabango Lirangwe T/C Lirangwe Waterboard and Health Centre Lundu Mikoko Health Centre Chibvunde Linjizi Lirangwe Weighbridge T/A Chigalu Value Food Chain Factory Namikasi Secondary part of Mdeka T/C
C2,Southern Region,Mangochi,Naminga Mlomba Wataka Nsanama Ntholowa Namandanje Mbanira Namanja Mangamba Ntaja Mphonde Likhonyowa Kiphalele Nayuchi Nanyumbu Naphiwa Chikuluma Umbwa Nselema Kapoloma Mpiri Malundani Chikweo Nampeya Ngokwe Mkwepere Khanene Mwitiya Mkwakwata
C2,Southern Region,Liwonde,Namame Soche CCAP Soche Quarry
C2,Central Region,Golomoti,Mua Mtakataka Golomoti and Mganja
C2,Central Region,Lilongwe B,Part of Area 43 and Kauma
C2,Central Region,Kasungu,Santhe Chizinga Mwimba Mkhota Chaima Thondolo Mvula Kamphulu Lunju Kawamba Zaya Malepera Kamboni Kayesa Nthunduwala Kasungu National Park Kadwala Chankhozi and Linyangwa
C2,Central Region,Blantyre,KUHES/COM part Mt Pleasant Moth Club Kubaluti New Naperi part of Chitawira
C2,Central Region,Mzuzu,Industrial Area Manjawira T/C Chitseko Chipini Senzani Kangankundi Chitale area Likudzi Nyanyala Phalula Chitsoka Phombeya Manjawira area Ntonda Mikoke Mfulanjobvu Liwiza Tsamba Mziza Msimuke
C2,Central Region,Balaka,Tollgate Weighbridge Balaka Market T/C
C2,Southern Region,Blantyre,MCA MUBAS (Polytechnic) School of Health Sciences MBC Radio Chitawira Primary School Demat Chitawira Light Industrial Chichiri Prison Chichiri MTL Keza Golden Peacock Hotel Game Stores
C2,Southern Region,Chileka,Chibanja Chibavi Salisbury Line St. John of God
C2,Northern Region,Karonga,Uliwa Chilumba Garrison Nyungwe Mlare Jetty Ngara Bundi Hara Hangalawe St. Annes
C2,Northern Region,Rumphi,Lupembe Mwenilondo TTC St Marys Lulindo Malema Mwambuli NASFAM Maghemo Ipyana Mikoma
C2,Northern Region,Karonga,
C2,Northern Region,Chintheche,
C2,Northern Region,Chitipa,Chitipa Boma Kapoka Mpata Misuku Ifumbo Chisansu Nthalire Kameme Chinunkha Kaseye Chisenga Wenya Budonda Meru Barracks Lufita Wiliro